session_id,user_id,timestamp,action,parameters,prev_action_1,prev_action_2,prev_action_3,day,month,week,year,seconds_passed,pa1_ss,pa2_ss,pa3_ss
76dbd4b8-18f3-4e6b-bf1d-94b2412a4e33,user_1,2025-03-05 13:12:41+00:00,GET /sprints,"['state', 'board_id']",,,,5,3,10,2025,47561,False,False,False
76dbd4b8-18f3-4e6b-bf1d-94b2412a4e33,user_1,2025-03-05 13:19:41+00:00,GET /tickets/{ticketId}/transitions,['ticketId'],GET /sprints,,,5,3,10,2025,47981,True,False,False
76dbd4b8-18f3-4e6b-bf1d-94b2412a4e33,user_1,2025-03-05 13:20:17+00:00,PUT /budgets/{budget_id},['budget_id'],GET /tickets/{ticketId}/transitions,GET /sprints,,5,3,10,2025,48017,True,True,False
42d943db-5787-4d96-8f90-2db0d45b3d21,user_1,2025-03-07 08:12:44+00:00,PUT /invoices/{invoice_id}/status,['status'],PUT /budgets/{budget_id},GET /tickets/{ticketId}/transitions,GET /sprints,7,3,10,2025,29564,False,False,False
42d943db-5787-4d96-8f90-2db0d45b3d21,user_1,2025-03-07 08:14:19+00:00,POST /tickets/{ticketId}/transitions,"['transition_id', 'ticketId', 'comment']",PUT /invoices/{invoice_id}/status,PUT /budgets/{budget_id},GET /tickets/{ticketId}/transitions,7,3,10,2025,29659,True,False,False
cc3db7db-4915-447a-bfed-878b262790ea,user_1,2025-03-07 16:29:46+00:00,GET /boards/{boardId},['boardId'],POST /tickets/{ticketId}/transitions,PUT /invoices/{invoice_id}/status,PUT /budgets/{budget_id},7,3,10,2025,59386,False,False,False
cc3db7db-4915-447a-bfed-878b262790ea,user_1,2025-03-07 16:31:41+00:00,GET /tickets/{ticketId},['ticketId'],GET /boards/{boardId},POST /tickets/{ticketId}/transitions,PUT /invoices/{invoice_id}/status,7,3,10,2025,59501,True,False,False
bd7b28df-e05b-4106-bde7-bbe1abeba200,user_1,2025-03-10 08:35:33+00:00,PATCH /tickets/{ticketId},[],GET /tickets/{ticketId},GET /boards/{boardId},POST /tickets/{ticketId}/transitions,10,3,11,2025,30933,False,False,False
bd7b28df-e05b-4106-bde7-bbe1abeba200,user_1,2025-03-10 08:37:52+00:00,GET /tickets/{ticketId}/transitions,[],PATCH /tickets/{ticketId},GET /tickets/{ticketId},GET /boards/{boardId},10,3,11,2025,31072,True,False,False
8e3864b3-9fff-4bbc-98dc-7c87916da86e,user_1,2025-03-10 10:08:50+00:00,PATCH /boards/{boardId},"['description', 'boardId', 'name']",GET /tickets/{ticketId}/transitions,PATCH /tickets/{ticketId},GET /tickets/{ticketId},10,3,11,2025,36530,False,False,False
